project_id,borough,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,total_units
50187,Brooklyn,0,0,10,0,0,0,44
53604,Brooklyn,0,0,1,0,0,0,1
53586,Queens,0,0,1,0,0,0,1
53587,Staten Island,0,0,1,0,0,0,1
53602,Brooklyn,0,0,1,0,0,0,1
58199,Staten Island,0,0,0,0,1,0,1
58218,Staten Island,0,0,0,0,1,0,1
58247,Staten Island,0,0,0,0,1,0,1
50404,Brooklyn,0,0,8,0,0,0,8
50404,Brooklyn,0,0,4,0,0,0,4
50404,Brooklyn,0,0,10,0,0,1,11
50404,Brooklyn,0,0,6,0,0,0,6
50404,Brooklyn,0,0,8,0,0,0,8
50404,Brooklyn,0,0,3,0,0,0,3
50404,Brooklyn,0,0,4,0,0,0,4
50404,Brooklyn,0,0,4,0,0,0,4
50404,Brooklyn,0,0,3,0,0,0,3
50404,Brooklyn,0,0,8,0,0,0,8
50404,Brooklyn,0,0,11,0,0,1,12
50404,Brooklyn,0,0,4,0,0,0,4
50404,Brooklyn,0,0,4,0,0,0,4
50404,Brooklyn,0,0,8,0,0,0,8
50404,Brooklyn,0,0,10,0,0,0,10
50404,Brooklyn,0,0,7,0,0,0,7
50404,Brooklyn,0,0,6,0,0,0,6
