type,provider,latitude,longitude,city,activated,borough_code,borough
Free,LinkNYC - Citybridge,40.7894572696,-73.9750410102,New York,08/07/2017 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7900530001,-73.97476700050001,New York,10/25/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7902349997,-73.9747929999,New York,10/25/2017 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7906900002,-73.9744619998,New York,04/20/2018 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7909012896,-73.9743022899,New York,06/27/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7908180001,-73.9748099995,New York,06/27/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7914009998,-73.97382200050001,New York,07/07/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7919430003,-73.9734249998,New York,07/07/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7922549998,-73.973761,New York,05/31/2018 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7925344702,-73.9731247295,New York,09/21/2017 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7926955504,-73.9734376096,New York,03/15/2018 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.792887080300005,-73.9732885705,New York,10/06/2017 12:00:00 AM +0000,1,Manhattan
Free,Transit Wireless,40.7422159999,-73.9489159998,Queens,09/09/9999 12:00:00 AM +0000,4,Queens
Free,LinkNYC - Citybridge,40.7934258096,-73.97304342,New York,02/06/2018 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7931808696,-73.9726485797,New York,08/07/2017 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7938216596,-73.9720347904,New York,07/07/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7868960404,-73.97748309,New York,05/04/2016 12:00:00 AM +0000,1,Manhattan
Free,LinkNYC - Citybridge,40.7880016796,-73.9765510306,New York,08/10/2016 12:00:00 AM +0000,1,Manhattan
