INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
206823156,12/21/2019,04:36:00,BRONX,44,0,,false,25-44,M,BLACK,45-64,M,BLACK,1004227,237572,40.818741576000036,-73.92782678799993
206821821,12/21/2019,04:30:00,BROOKLYN,78,1,,false,,,,25-44,M,BLACK HISPANIC,991724,186291,40.67800757700008,-73.97305570499998
206823155,12/21/2019,03:20:00,BROOKLYN,70,0,,false,,,,25-44,M,BLACK,995944,176899,40.65222405100008,-73.95785778499999
206821819,12/20/2019,21:36:00,BRONX,47,0,,false,,,,<18,M,BLACK,1020998,257118,40.87233570600006,-73.86712799899993
206729523,12/19/2019,21:22:00,QUEENS,105,0,,false,,,,18-24,M,BLACK,1051883,184698,40.67337996200007,-73.75618326799997
206729524,12/19/2019,16:20:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,true,,,,25-44,F,BLACK,1006160,180447,40.66194314900008,-73.92102913399998
206703579,12/19/2019,05:15:00,MANHATTAN,28,0,,false,,,,18-24,M,BLACK HISPANIC,996089,231418,40.80186520800004,-73.95723931799995
206681438,12/18/2019,23:22:00,MANHATTAN,32,0,,false,,,,25-44,M,BLACK,999651,234170,40.80941319900006,-73.94436716399997
206681439,12/18/2019,18:15:00,QUEENS,100,0,,true,25-44,U,BLACK,45-64,M,BLACK,1036299,153335,40.58740067900004,-73.81260554099998
206570261,12/16/2019,19:15:00,STATEN ISLAND,120,0,,true,,,,<18,M,BLACK HISPANIC,954514,170534,40.634711295000045,-74.10713802599996
206570260,12/16/2019,12:37:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,UNKNOWN,25-44,M,BLACK,1001933,228925,40.79501283900004,-73.93613752499994
206526479,12/15/2019,20:00:00,MANHATTAN,28,0,,false,,,,18-24,M,BLACK,997328,232574,40.805036364000046,-73.95276183299995
206526480,12/15/2019,03:36:00,BROOKLYN,79,0,,false,,,,18-24,M,BLACK,998810,192148,40.69407488400003,-73.947496157
206524906,12/14/2019,21:35:00,BRONX,52,0,,false,,,,18-24,M,BLACK,1013413,255738,40.86857634900008,-73.89455982599996
206316192,12/11/2019,04:00:00,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,987061,148773,40.575031251000034,-73.98988266699997
206311808,12/10/2019,23:32:00,STATEN ISLAND,122,0,,false,25-44,F,WHITE,18-24,M,WHITE,953155,145282,40.56539505300003,-74.11191815299998
206311808,12/10/2019,23:32:00,STATEN ISLAND,122,0,,false,18-24,F,WHITE HISPANIC,18-24,M,WHITE,953155,145282,40.56539505300003,-74.11191815299998
206311808,12/10/2019,23:32:00,STATEN ISLAND,122,0,,false,18-24,M,BLACK HISPANIC,18-24,M,WHITE,953155,145282,40.56539505300003,-74.11191815299998
206311807,12/10/2019,21:36:00,BRONX,48,0,,false,,,,25-44,M,BLACK,1015119,247835,40.846879195000035,-73.88842801999994
206311359,12/10/2019,20:35:00,STATEN ISLAND,120,0,,true,,,,25-44,M,WHITE HISPANIC,961472,164727,40.61879293100003,-74.08204929199997
206196589,12/08/2019,23:16:00,BRONX,47,0,,false,25-44,M,BLACK,45-64,M,BLACK HISPANIC,1031078,262785,40.88784211400008,-73.83064118999994
206195058,12/07/2019,22:40:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD,true,18-24,M,BLACK,18-24,M,BLACK,995294,176595,40.65139047100007,-73.96020079799997
