postcode,borough,latitude,longitude
10004,MANHATTAN,40.703235,-74.012421
10004,MANHATTAN,40.702744,-74.012201
10004,MANHATTAN,40.704025,-74.012638
10004,MANHATTAN,40.704039,-74.01231700000001
10282,MANHATTAN,40.714812,-74.016153
10004,MANHATTAN,40.705523,-74.01711
10006,MANHATTAN,40.707632000000004,-74.013068
10004,MANHATTAN,40.704703,-74.010398
10005,MANHATTAN,40.705486,-74.007874
10005,MANHATTAN,40.704638,-74.006694
10005,MANHATTAN,40.705187,-74.00636899999999
10005,MANHATTAN,40.705431,-74.00705500000001
10005,MANHATTAN,40.705299,-74.007242
10005,MANHATTAN,40.706773,-74.00914300000001
10005,MANHATTAN,40.706523,-74.00825999999999
10005,MANHATTAN,40.7064,-74.008043
10005,MANHATTAN,40.7064,-74.008043
10006,MANHATTAN,40.709468,-74.01293100000001
10006,MANHATTAN,40.708351,-74.014323
10006,MANHATTAN,40.708321000000005,-74.01345
10006,MANHATTAN,40.708263,-74.013475
10006,MANHATTAN,40.709139,-74.01402
10006,MANHATTAN,40.709493,-74.014976
10006,MANHATTAN,40.709728999999996,-74.013818
10038,MANHATTAN,40.708931,-74.009035
10038,MANHATTAN,40.709669,-74.010092
10038,MANHATTAN,40.709765000000004,-74.008765
10038,MANHATTAN,40.710037,-74.00977900000001
10038,MANHATTAN,40.708028000000006,-74.00793900000001
10038,MANHATTAN,40.707753000000004,-74.006918
10038,MANHATTAN,40.707086,-74.00624300000001
10038,MANHATTAN,40.707704,-74.006644
10038,MANHATTAN,40.705714,-74.005399
10038,MANHATTAN,40.706051,-74.0051
10038,MANHATTAN,40.708988,-74.007654
10038,MANHATTAN,40.709728999999996,-74.006792
10038,MANHATTAN,40.709916,-74.008949
10007,MANHATTAN,40.711453000000006,-74.010504
10038,MANHATTAN,40.710764000000005,-74.007708
10038,MANHATTAN,40.711393,-74.00666600000001
10038,MANHATTAN,40.710962,-74.00686400000001
10038,MANHATTAN,40.710306,-74.006828
10038,MANHATTAN,40.71055,-74.005771
10038,MANHATTAN,40.71055,-74.005771
10038,MANHATTAN,40.71055,-74.005771
10038,MANHATTAN,40.709021,-74.00227199999999
10038,MANHATTAN,40.707962,-74.001706
10007,MANHATTAN,40.712987,-74.008686
10007,MANHATTAN,40.715205,-74.009476
10007,MANHATTAN,40.715309000000005,-74.00875500000001
10013,MANHATTAN,40.716114000000005,-74.00737
10013,MANHATTAN,40.715002,-73.999628
10013,MANHATTAN,40.716968,-74.00188299999999
10013,MANHATTAN,40.719783,-74.010227
10013,MANHATTAN,40.719128000000005,-74.005166
10013,MANHATTAN,40.718488,-74.00264399999999
10013,MANHATTAN,40.719358,-74.00190500000001
10013,MANHATTAN,40.718096,-74.00133100000001
10013,MANHATTAN,40.715763,-73.996378
10013,MANHATTAN,40.717321999999996,-73.99557
10013,MANHATTAN,40.719084,-73.999953
10013,MANHATTAN,40.718515999999994,-74.000635
10013,MANHATTAN,40.721,-74.004152
10013,MANHATTAN,40.721068,-74.005758
10013,MANHATTAN,40.721634,-74.004412
10013,MANHATTAN,40.722827,-74.004726
10013,MANHATTAN,40.719904,-74.00030699999999
10013,MANHATTAN,40.719891,-73.99875899999999
