occur_date,occur_time,borough,precinct,vic_sex,latitude,longitude
12/31/2019,23:15:00,MANHATTAN,28,M,40.80024432600004,-73.95339008999997
12/31/2019,20:14:00,BROOKLYN,73,M,40.66052686300003,-73.91715616699997
12/30/2019,21:29:00,BROOKLYN,71,M,40.656923240000026,-73.93964677899999
12/30/2019,03:17:00,BROOKLYN,81,M,40.68681516500004,-73.91936988499998
12/30/2019,03:17:00,BROOKLYN,81,M,40.68681516500004,-73.91936988499998
12/29/2019,00:50:00,BROOKLYN,77,M,40.67286180100007,-73.95718142799996
12/28/2019,19:51:00,BROOKLYN,75,M,40.684281548000044,-73.87342672099999
12/28/2019,17:53:00,STATEN ISLAND,121,M,40.62657078000007,-74.16084527699995
12/28/2019,04:20:00,MANHATTAN,23,M,40.79415025600008,-73.93986908699995
12/27/2019,23:27:00,BRONX,46,M,40.85406302600006,-73.90478382299993
12/27/2019,22:40:00,QUEENS,113,M,40.706808642000055,-73.75105110599996
12/27/2019,10:11:00,BROOKLYN,73,M,40.668839045000034,-73.90764006599994
12/26/2019,04:25:00,QUEENS,114,M,40.75300814800004,-73.92389526399995
12/25/2019,22:50:00,BRONX,41,M,40.820411060000026,-73.89332824199995
12/25/2019,02:40:00,BROOKLYN,67,M,40.64174589100002,-73.95440522899997
12/25/2019,00:19:00,BROOKLYN,90,M,40.70412913900003,-73.947870547
12/24/2019,19:07:00,BROOKLYN,77,M,40.66829116100007,-73.92412169499994
12/23/2019,20:51:00,BROOKLYN,60,F,40.57978019500007,-73.99842465499995
12/23/2019,20:51:00,BROOKLYN,60,M,40.57978019500007,-73.99842465499995
12/23/2019,15:31:00,BROOKLYN,73,M,40.661794060000034,-73.90872392799997
12/23/2019,11:25:00,QUEENS,113,M,40.679125323000044,-73.77391494099999
12/23/2019,05:28:00,BRONX,48,F,40.84757900300008,-73.90031840799999
12/23/2019,05:28:00,BRONX,48,M,40.84757900300008,-73.90031840799999
12/21/2019,04:36:00,BRONX,44,M,40.818741576000036,-73.92782678799993
12/21/2019,04:30:00,BROOKLYN,78,M,40.67800757700008,-73.97305570499998
12/21/2019,03:20:00,BROOKLYN,70,M,40.65222405100008,-73.95785778499999
12/20/2019,21:36:00,BRONX,47,M,40.87233570600006,-73.86712799899993
12/19/2019,21:22:00,QUEENS,105,M,40.67337996200007,-73.75618326799997
12/19/2019,16:20:00,BROOKLYN,67,F,40.66194314900008,-73.92102913399998
12/19/2019,05:15:00,MANHATTAN,28,M,40.80186520800004,-73.95723931799995
12/18/2019,23:22:00,MANHATTAN,32,M,40.80941319900006,-73.94436716399997
12/18/2019,18:15:00,QUEENS,100,M,40.58740067900004,-73.81260554099998
12/16/2019,19:15:00,STATEN ISLAND,120,M,40.634711295000045,-74.10713802599996
12/16/2019,12:37:00,MANHATTAN,23,M,40.79501283900004,-73.93613752499994
12/15/2019,20:00:00,MANHATTAN,28,M,40.805036364000046,-73.95276183299995
12/15/2019,03:36:00,BROOKLYN,79,M,40.69407488400003,-73.947496157
12/14/2019,21:35:00,BRONX,52,M,40.86857634900008,-73.89455982599996
12/11/2019,04:00:00,BROOKLYN,60,M,40.575031251000034,-73.98988266699997
12/10/2019,23:32:00,STATEN ISLAND,122,M,40.56539505300003,-74.11191815299998
12/10/2019,23:32:00,STATEN ISLAND,122,M,40.56539505300003,-74.11191815299998
12/10/2019,23:32:00,STATEN ISLAND,122,M,40.56539505300003,-74.11191815299998
12/10/2019,21:36:00,BRONX,48,M,40.846879195000035,-73.88842801999994
12/10/2019,20:35:00,STATEN ISLAND,120,M,40.61879293100003,-74.08204929199997
12/08/2019,23:16:00,BRONX,47,M,40.88784211400008,-73.83064118999994
12/07/2019,22:40:00,BROOKLYN,70,M,40.65139047100007,-73.96020079799997
12/07/2019,00:41:00,BRONX,40,M,40.808777943000045,-73.923130702
12/07/2019,00:23:00,QUEENS,115,M,40.749926198000026,-73.86223992399994
12/06/2019,23:30:00,BRONX,47,M,40.88561885600007,-73.84836422499995
12/06/2019,23:00:00,BROOKLYN,77,M,40.67140715000005,-73.92948225299993
12/06/2019,17:40:00,BROOKLYN,75,M,40.66794473600004,-73.87604591299998
12/05/2019,14:15:00,BRONX,42,M,40.82389216900003,-73.91400444399994
12/05/2019,14:15:00,BRONX,42,M,40.82389216900003,-73.91400444399994
12/04/2019,23:12:00,BROOKLYN,67,F,40.65289404700008,-73.945438299
12/04/2019,03:30:00,QUEENS,110,M,40.738374951000026,-73.88615590799998
12/03/2019,20:45:00,BRONX,48,M,40.84464334200004,-73.88955581599998
12/03/2019,14:28:00,BROOKLYN,67,M,40.63944734500007,-73.93488836999995
12/02/2019,15:52:00,BROOKLYN,73,M,40.675221247000025,-73.91938390099993
12/02/2019,11:50:00,BROOKLYN,67,M,40.64341191200003,-73.92754078099993
12/01/2019,22:10:00,BROOKLYN,81,M,40.678959457000076,-73.92313972699995
12/01/2019,21:10:00,BROOKLYN,81,M,40.69056345100006,-73.92594259299993
12/01/2019,03:32:00,STATEN ISLAND,123,M,40.54059638700004,-74.17683949599996
12/01/2019,01:07:00,QUEENS,114,M,40.75742705300007,-73.94260579999997
11/30/2019,23:01:00,BRONX,46,M,40.84512030900004,-73.92249595899995
11/29/2019,18:17:00,BROOKLYN,84,M,40.69543880800006,-73.98322537599995
11/29/2019,14:07:00,BRONX,42,M,40.82585965700008,-73.89981617899997
11/28/2019,08:52:00,BROOKLYN,75,M,40.667974171000026,-73.88319042199998
